CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-04 02:45:00,1.0,10408.0,3.0,15.0,1595952000.0,5658284000.0,30.0,50.0,39.2,154223086.12360287,275091414.0892561,188439.90563935807,334634.05595235754
2018-08-04 03:15:00,4.0,10437.0,2.0,15.0,1598444000.0,5655792000.0,30.0,50.0,39.3,126745625.64058554,245034507.6457501,156858.374201041,300484.8461908593
2018-08-04 03:45:00,4.0,10434.0,3.0,15.0,1598728000.0,5655508000.0,30.0,50.0,39.4,104163777.8604739,202108174.82365656,131510.1793799942,250918.4117229725
2018-08-04 04:00:00,4.0,10473.0,1.0,15.0,1602784000.0,5651452000.0,32.0,54.0,42.6,94770496.05166009,183356659.5717155,120521.17220975368,229775.99552289207
2018-08-04 04:15:00,4.0,10434.0,2.0,15.0,1600412000.0,5653756000.0,31.0,56.0,43.4,94178749.87238526,175881938.33668533,115367.16553769929,217302.9435080426
2018-08-04 04:30:00,1.0,10394.0,3.0,14.0,1598244000.0,5655924000.0,33.0,57.0,44.7,98646754.48930854,180411735.69617918,118213.4633631217,219662.8774554295
2018-08-04 04:45:00,5.0,10429.0,2.0,15.0,1598048000.0,5656120000.0,33.0,57.0,44.7,78347623.05985469,150906813.47459382,101170.69403163233,193026.24558298266
2018-08-04 05:00:00,5.0,10437.0,2.0,15.0,1602276000.0,5651892000.0,31.0,57.0,44.5,75643483.78212517,146397234.70527482,98164.65548527607,187582.1853381041
2018-08-04 05:15:00,6.0,10450.0,3.0,14.0,1598380000.0,5655788000.0,32.0,57.0,44.4,76626190.3780145,148784669.55073243,100805.64996419323,193102.7143995411
2018-08-04 05:30:00,4.0,10459.0,1.0,15.0,1598264000.0,5655904000.0,32.0,57.0,44.3,82581658.03793092,160889227.09397393,107763.29391511332,204903.5289677566
2018-08-04 05:45:00,4.0,10380.0,1.0,27.0,1598580000.0,5655588000.0,32.0,57.0,44.0,93942413.14669631,183087203.20779663,119998.95783574115,228791.22525106996
